Ty Dolla $ign	Entergalactic
Woody Allen	Shadows and Fog
Woody Allen	Sleeper
Woody Allen	Small Time Crooks
Woody Allen	Stardust Memories
Woody Allen	Sweet and Lowdown
Woody Allen	Take the Money and Run
Woody Allen	The Curse of the Jade Scorpion
Woody Allen	To Rome with Love
Woody Allen	Zelig
Kirstie Alley	For Richer or Poorer
Kirstie Alley	It Takes Two
Kirstie Alley	Look Who's Talking
Kirstie Alley	Look Who's Talking Now
Kirstie Alley	Look Who's Talking Too
Kirstie Alley	Runaway
Kirstie Alley	Shoot to Kill
Kirstie Alley	Summer School
Kirstie Alley	Village of the Damned
Sara Allgood	Blackmail
Annie Allix	Man on Wire
Bryson Jones Allman	The Way to Paradise
Bryson Jones Allman	Unbreakable Souls
Bruce Allpress	The Water Horse
Corbin Allred	Saints and Soldiers
Pernilla Allwin	Fanny och Alexander
Sophia Ally	The Current War
Stephanie Allynne	People Places Things
Joaquim de Almeida	Clear and Present Danger
Joaquim de Almeida	Desperado
Joaquim de Almeida	La cage dorée
Joaquim de Almeida	Only You
Joaquim de Almeida	Our Brand Is Crisis
Gabriel Almirón	Metegol
Anabel Alonso	Kika
Daniella Alonso	Paul Blart: Mall Cop 2
Daniella Alonso	The Hills Have Eyes II
Laz Alonso	Jumping the Broom
Laz Alonso	Miracle at St. Anna
Leonardo Alonso	Sin nombre
Marcelo Alonso	El Club
Maria Conchita Alonso	Colors
Maria Conchita Alonso	Material Girls
Maria Conchita Alonso	Moscow on the Hudson
Maria Conchita Alonso	The House of the Spirits
Maria Conchita Alonso	The Running Man
Maria Conchita Alonso	Vampire's Kiss
Cristela Alonzo	Cars 3
Mark Alpiger	The King of Kong
Inga Alsina	The Good Neighbor
Çetin Altay	Ali Baba ve 7 Cüceler
Jonathan Alter	Waiting for 'Superman'
Ernesto Alterio	Perfectos desconocidos
Héctor Alterio	El hijo de la novia
Héctor Alterio	La historia oficial
Peter Althin	TPB AFK: The Pirate Bay Away from Keyboard
Elena Altieri	Ladri di biciclette
Josef Altin	Eastern Promises
Josef Altin	Now Is Good
Bruce Altman	Deception
Bruce Altman	L.I.E.
Bruce Altman	Matchstick Men
Sevket Altug	Kapicilar Krali
Tugce Altug	Kelebekler
Tony Alva	Dogtown and Z-Boys
Karla Cecilia Alvarado	Sin nombre
Trini Alvarado	The Babe
Trini Alvarado	The Frighteners
David Alvarez	West Side Story
Irineo Alvarez	Bordertown
Miguel Alvarez	Medianeras
Anne Alvaro	Le goût des autres
Sveva Alviti	AKA
Joe Alwyn	Billy Lynn's Long Halftime Walk
Joe Alwyn	Harriet
Joe Alwyn	Mary Queen of Scots
Joe Alwyn	The Last Letter from Your Lover
Ike Amadi	Mortal Kombat Legends: Scorpion's Revenge
Sandra Amador	Gaga: Five Foot Two
Mathieu Amalric	Cosmopolis
Mathieu Amalric	L'ennemi public n°1
Mathieu Amalric	La Vénus à la fourrure
Mathieu Amalric	Le grand bain
Mathieu Amalric	Le scaphandre et le papillon
Mathieu Amalric	Les aventures extraordinaires d'Adèle Blanc-Sec
Mathieu Amalric	Oxygène
Mathieu Amalric	Quantum of Solace
Mathieu Amalric	The Grand Budapest Hotel
Yûki Amami	Meari to majo no hana
Oulaya Amamra	Divines
Zeenat Aman	Don
Max Amann	Triumph des Willens
Ruth Amarante	Pina
Premgi Amaren	Mankatha
Vincenzo Amato	Il Decameron
Mona Ambegaonkar	Mardaani
Stefano Ambrogi	Lo chiamavano Jeeg Robot
Chris Ambrose	American Splendor
Lauren Ambrose	Can't Hardly Wait
Lauren Ambrose	Sleepwalk with Me
Tangie Ambrose	Why Him?
Alicia Ambrose-Bayly	I Came By
Derek Ambrosi	Side by Side
Utkarsh Ambudkar	Rocket Science
Utkarsh Ambudkar	The Ice Age Adventures of Buck Wild
Don Ameche	Cocoon
Don Ameche	Cocoon: The Return
Don Ameche	Heaven Can Wait
Don Ameche	Trading Places
Aml Ameen	Kidulthood
Anjali Ameer	Peranbu
Robbie Amell	ARQ
Robbie Amell	Code 8
Robbie Amell	Nine Lives
Robbie Amell	Resident Evil: Welcome to Raccoon City
Robbie Amell	The Babysitter
Robbie Amell	The Duff
Claudio Amendola	Suburra
Tony Amendola	Annabelle
Jeff Ament	Dogtown and Z-Boys
Amerie	First Daughter
Carlos Amezcua	Southland Tales
Mädchen Amick	Sleepwalkers
Mädchen Amick	Twin Peaks: Fire Walk with Me
Amidou	Sorcerer
Alka Amin	Kedarnath
Alka Amin	Shaadi Mein Zaroor Aana
Marianne Aminoff	Höstsonaten
Suzy Amis	Blown Away
Christopher Amitrano	Galveston
Alberto Ammann	Celda 211
Alberto Ammann	Eva
Almudena Amor	El buen patrón
Tess Amorim	Hoje Eu Quero Voltar Sozinho
John Amos	Lock Up
John Amos	The Beastmaster
John Amplas	Martin
Nikki Amuka-Bird	Knock at the Cabin
Eva Amurri	The Life Before Her Eyes
Simon Amédé	Finding Vivian Maier
Amédée	Jeux interdits
Catherine An	The Painted Veil
Yoson An	Plane
Doru Ana	Moartea domnului Lazarescu
Muriel Santa Ana	Un cuento chino
Pankaj Anand	Hichki
Priya Anand	English Vinglish
Anandhi	Pariyerum Perumal
Anandhi	Visaranai
Elena Anaya	Alatriste
Elena Anaya	Frágiles
Elena Anaya	Habitación en Roma
Elena Anaya	In the Land of Women
Elena Anaya	La piel que habito
Elena Anaya	Lucía y el sexo
Elena Anaya	À bout portant
Jacqueline Andere	El ángel exterminador
David Anders	The Revenant
Glenn Anders	The Lady from Shanghai
Luana Anders	Pit and the Pendulum
Elga Andersen	Le Mans
Kip Andersen	Cowspiracy: The Sustainability Secret
Kip Andersen	What the Health
Lotte Andersen	Nattevagten
Mads Broe Andersen	Submarino
Olivia Le Andersen	King of Thieves
Anthony Anderson	Agent Cody Banks 2: Destination London
Anthony Anderson	Barbershop
Anthony Anderson	Barbershop: The Next Cut
Anthony Anderson	Cradle 2 the Grave
Anthony Anderson	Exit Wounds
Anthony Anderson	Hustle & Flow
Anthony Anderson	Kangaroo Jack
Anthony Anderson	Me, Myself & Irene
Anthony Anderson	Small Town Crime
Anthony Anderson	The Town That Dreaded Sundown
Blake Anderson	Game Over, Man!
Carl Anderson	Jesus Christ Superstar
Ella Anderson	The Boss
Ella Anderson	The Glass Castle
Ella Anderson	The Possession of Michael King
Erich Anderson	Friday the 13th: The Final Chapter
Erich Anderson	Nightwatch
Ever Anderson	Peter Pan & Wendy
Gillian Anderson	Playing by Heart
Gillian Anderson	Shadow Dancer
Gillian Anderson	The Last King of Scotland
Gillian Anderson	The X Files
Gillian Anderson	The X Files: I Want to Believe
Gillian Anderson	UFO
Hannah Emily Anderson	Jigsaw
Ian Anderson	The Conspiracy
Jacob Anderson	Adulthood
Jamie Anderson	The Contract
Jeff Anderson	Clerks
Jeff Anderson	Clerks II
Jeff Anderson	Clerks III
Jeff Anderson	Deliver Us from Evil
Joe Anderson	Across the Universe
Joe Anderson	Hangman
Joe Anderson	Horns
Joe Anderson	Rogues Gallery
Joe Anderson	The Crazies
Judith Anderson	Rebecca
Kevin Anderson	Sleeping with the Enemy
Kurt David Anderson	Resolution
Loni Anderson	3 Ninjas: High Noon at Mega Mountain
Loni Anderson	All Dogs Go to Heaven
McKee Anderson	Night of the Living Dead
Melissa Sue Anderson	Happy Birthday to Me
Melody Anderson	Dead & Buried
Melody Anderson	Flash Gordon
Michael Anderson Jr.	The Greatest Story Ever Told
Michael Anderson Jr.	The Sons of Katie Elder
Miles Anderson	Vishwaroopam
Pamela Anderson	Barb Wire
Pamela Anderson	Pamela, a Love Story
Pamela Anderson	Scary Movie 3
Paul Anderson	24 Hours to Live
Paul Anderson	Legend
Paul Anderson	Passion
Raffaëla Anderson	Baise-moi
Richard Aaron Anderson	Weird: The Al Yankovic Story
Ross Anderson	Crawl
Sam Anderson	Devil's Due
Samuel Anderson	The History Boys
Shamier Anderson	Awake
Shamier Anderson	Stowaway
Shirley Anderson	Better Luck Tomorrow
Zahra Anderson	Child's Play
Bibi Andersson	En passion
Bibi Andersson	Persona
Bibi Andersson	Smultronstället
Harriet Andersson	Dogville
Harriet Andersson	Sommaren med Monika
Harriet Andersson	Sommarnattens leende
Harriet Andersson	Såsom i en spegel
Harriet Andersson	Viskningar och rop
Holger Andersson	En duva satt på en gren och funderade på tillvaron
Peter Andersson	Flickan som lekte med elden
Sakura Ando	Ai no mukidashi
Sakura Ando	Manbiki kazoku
Adjoa Andoh	Fractured
Lisa Andoh	The Scarlet Letter
Jake Andolina	Abduction
Fernanda Andrade	The Devil Inside
Júlio Andrade	O Homem Que Copiava
Briana Andrade-Gomes	Work It
Zoltan Andrasi	The Last Kingdom: Seven Kings Must Die
Kirsten Andreasen	Ordet
Kirsten Andreasen	Vredens dag
Ursula Andress	Casino Royale
Ursula Andress	Dr. No
Ursula Andress	Soleil rouge
Dana Andrews	Battle of the Bulge
Dana Andrews	Laura
Dana Andrews	Night of the Demon
Dana Andrews	The Best Years of Our Lives
Dana Andrews	The Ox-Bow Incident
David Andrews	Cherry 2000
David Andrews	Graveyard Shift
David Andrews	Jessabelle
David Andrews	Wyatt Earp
Dean Andrews	My Summer of Love
Dean Andrews	United
Edward Andrews	Avanti!
Giuseppe Andrews	2001 Maniacs
Giuseppe Andrews	Detroit Rock City
Greg Andrews	ATL
Harry Andrews	Battle of Britain
Harry Andrews	The Hill
Harry Andrews	Theatre of Blood
James Andrews	Blue Jay
Jason Andrews	Punch-Drunk Love
Julie Andrews	10
Julie Andrews	Despicable Me
Julie Andrews	Mary Poppins
Julie Andrews	Shrek 2
Julie Andrews	The Princess Diaries
Julie Andrews	The Princess Diaries 2: Royal Engagement
Julie Andrews	The Sound of Music
Julie Andrews	Tooth Fairy
Julie Andrews	Torn Curtain
Julie Andrews	Victor/Victoria
Luing Andrews	Bronson
Lynn Andrews	The Dark and the Wicked
Naveen Andrews	Diana
Naveen Andrews	Kama Sutra: A Tale of Love
Naveen Andrews	The Brave One
Zack Andrews	The Houses October Built
Teri Andrez	Sorority Row
Sebastien Andrieu	Ultraviolet
David Andriole	Barb Wire
Valeriu Andriuta	Dupa dealuri
Eric André	Bad Trip
Frédéric Andréi	Diva
Michelle Ang	Big Mommas: Like Father, Like Son
Michelle Ang	The Taking
Michael Angarano	Empire State
Michael Angarano	Gentlemen Broncos
Michael Angarano	Haywire
Michael Angarano	Music of the Heart
Michael Angarano	Red State
Michael Angarano	Sky High
Michael Angarano	Snow Angels
Michael Angarano	The Art of Getting By
Michael Angarano	The Brass Teapot
Michael Angarano	The English Teacher
Michael Angarano	The Forbidden Kingdom
Michael Angarano	Wild Card
Asher Angel	Shazam!
Asher Angel	Shazam! Fury of the Gods
Lira Angel	Deep Cover
Vanessa Angel	Kingpin
Vanessa Angel	Superbabies: Baby Geniuses 2
Matilda De Angelis	L'incredibile storia dell'Isola delle Rose
Anggun	Earth
Jean-Hugues Anglade	37°2 le matin
Jean-Hugues Anglade	La reine Margot
Jean-Hugues Anglade	Le grand bain
Jean-Hugues Anglade	Maximum Risk
Bhagavan Angulo	The Wolfpack
Mukunda Angulo	The Wolfpack
Narayana Angulo	The Wolfpack
Susanne Angulo	The Wolfpack
Álex Angulo	El día de la bestia
Angâruzu	Noroi
Diego Anido	As bestas
Esther Anil	Drishyam 2
Jennifer Aniston	Along Came Polly
Jennifer Aniston	Bruce Almighty
Jennifer Aniston	Cake
Jennifer Aniston	Derailed
Jennifer Aniston	Dumplin'
Jennifer Aniston	Friends with Money
Jennifer Aniston	He's Just Not That Into You
Jennifer Aniston	Horrible Bosses 2
Jennifer Aniston	Just Go with It
Jennifer Aniston	Leprechaun
Jennifer Aniston	Life of Crime
Jennifer Aniston	Love Happens
Jennifer Aniston	Management
Jennifer Aniston	Marley & Me
Jennifer Aniston	Mother's Day
Jennifer Aniston	Murder Mystery
Jennifer Aniston	Murder Mystery 2
Jennifer Aniston	Office Christmas Party
Jennifer Aniston	Office Space
Jennifer Aniston	Picture Perfect
Jennifer Aniston	Rock Star
Jennifer Aniston	Rumor Has It...
Jennifer Aniston	She's Funny That Way
Jennifer Aniston	She's the One
Jennifer Aniston	Storks
Jennifer Aniston	The Bounty Hunter
Jennifer Aniston	The Break-Up
Jennifer Aniston	The Good Girl
Jennifer Aniston	The Iron Giant
Jennifer Aniston	The Object of My Affection
Jennifer Aniston	The Switch
Jennifer Aniston	Wanderlust
Jennifer Aniston	We're the Millers
Anjali	Peranbu
Anjali	Vakeel Saab
Conrad Anker	Meru
Ann-Margret	Carnal Knowledge
Ann-Margret	Going in Style
Ann-Margret	Grumpier Old Men
Ann-Margret	Grumpy Old Men
Ann-Margret	Magic
Ann-Margret	Newsies
Ann-Margret	The Cincinnati Kid
Ann-Margret	Tommy
Odette Annable	And Soon the Darkness
Odette Annable	Rogues Gallery
Odette Annable	The Unborn
Odette Annable	You Again
Vito Annichiarico	Roma città aperta
Francesca Annis	Dune
Francesca Annis	King of Thieves
Francesca Annis	Krull
Francesca Annis	The Tragedy of Macbeth
Hideaki Anno	Kaze tachinu
Afa Anoai	Mr. Nanny
Anon2World	We Are Legion: The Story of the Hacktivists
Anonyops	We Are Legion: The Story of the Hacktivists
Nonso Anozie	Guava Island
Michael Ansara	The Message
Aziz Ansari	30 Minutes or Less
Aziz Ansari	Ice Age: Continental Drift
Mike Anscombe	Resurrection
Dexter Sol Ansell	The Hunger Games: The Ballad of Songbirds & Snakes
Ansiba	Drishyam
Ansiba	Drishyam 2
Oka Antara	Serbuan maut 2: Berandal
Benson Jack Anthony	Awoken
Carl Anthony	Plan 9 from Outer Space
Carmelo Anthony	The Redeem Team
Gethin Anthony	Copenhagen
John Anthony	Hot Girls Wanted
La La Anthony	Think Like a Man Too
Lysette Anthony	Krull
Lysette Anthony	Without a Clue
Marc Anthony	Big Night
Pradeep Anthony	Aruvi
Aleksandr Antonov	Bronenosets Potemkin
Atle Antonsen	I onde dager
Jesuthasan Antonythasan	Dheepan
Jason Antoon	Columbus Circle
Eduardo Antuña	La comunidad
Cas Anvar	Diana
Cas Anvar	The Lie
Gabrielle Anwar	Body Snatchers
Gabrielle Anwar	For Love or Money
Gabrielle Anwar	Scent of a Woman
Anémone	Le père Noël est une ordure
Helena Anýzová	Valerie a týden divu
Yû Aoi	Kyaputen Hârokku
Yû Aoi	Redline
Yû Aoi	Rurôni Kenshin: Meiji kenkaku roman tan
Yû Aoi	Tekkon kinkurîto
Devon Aoki	D.E.B.S.
Devon Aoki	DOA: Dead or Alive
Devon Aoki	Mutant Chronicles
Munetaka Aoki	Rurôni Kenshin: Densetsu no saigo-hen
Munetaka Aoki	Rurôni Kenshin: Meiji kenkaku roman tan
Takeshi Aono	Jûbê ninpûchô
Gisèle Aouad	Sukkar banat
K.J. Apa	I Still Believe
K.J. Apa	Songbird
K.J. Apa	The Last Summer
Sarp Apak	Ölümlü Dünya
Cristal Aparicio	Sound of Freedom
Yalitza Aparicio	Roma
Iris Apatow	This Is 40
Maude Apatow	Other People
Maude Apatow	This Is 40
Natthakarn Aphaiwonk	Loong Boonmee raleuk chat
Alexandra Apjarova	This Is It
Peter Apostolopoulos	The Conspiracy
Jacob Appelbaum	Citizenfour
Vinny Appice	Sound City
Shiri Appleby	Havoc
Shiri Appleby	Swimfan
Shiri Appleby	The Devil's Candy
Christina Applegate	Anchorman 2: The Legend Continues
Christina Applegate	Anchorman: The Legend of Ron Burgundy
Christina Applegate	Bad Moms
Christina Applegate	Don't Tell Mom the Babysitter's Dead
Christina Applegate	Employee of the Month
Christina Applegate	Hall Pass
Christina Applegate	Jane Austen's Mafia!
Christina Applegate	Just Visiting
Christina Applegate	Surviving Christmas
Christina Applegate	The Big Hit
Christina Applegate	The Rocker
Christina Applegate	The Sweetest Thing
Christina Applegate	Vacation
Christina Applegate	View from the Top
Christina Applegate	Wonderland
Phyllis Applegate	Black Dynamite
Hale Appleman	Teeth
Annabelle Apsion	The War Zone
Radhika Apte	Andhadhun
Radhika Apte	Kabali
Radhika Apte	Manjhi: The Mountain Man
Radhika Apte	Padman
Radhika Apte	Raat Akeli Hai
Radhika Apte	Vikram Vedha
Thomas Aquino	Bacurau
Müjde Ar	Agir Roman
Müjde Ar	Kibar Feyzo
Müjde Ar	Tosun Pasa
Angélica Aragón	Bella
Angélica Aragón	El crimen del padre Amaro
Julian Arahanga	Once Were Warriors
Soji Arai	The Ramen Girl
Henrijs Arajs	The Good Neighbor
Masako Araki	Hôhokekyo tonari no Yamada-kun
Hiroshi Aramata	Noroi
Hugo Arana	La historia oficial
Michiyo Aratama	Dai-bosatsu tôge
Michiyo Aratama	Kaidan
Alfonso Arau	El Topo
Alfonso Arau	Three Amigos!
Tom Araya	Metal: A Headbanger's Journey
Nathaniel Arcand	Ginger Snaps Back: The Beginning
Anne Archer	Body of Evidence
Anne Archer	Clear and Present Danger
Anne Archer	Fatal Attraction
Anne Archer	Felon
Anne Archer	Narrow Margin
Anne Archer	Patriot Games
Anne Archer	The Art of War
Brendan Archer	Alex Strangelove
Randall Archer	The Collection
Rob Archer	A Christmas Horror Story
Fanny Ardant	8 femmes
Fanny Ardant	La Belle Époque
Fanny Ardant	Paris, je t'aime
Eve Arden	Mildred Pierce
Carlos Areces	Balada triste de trompeta
Geoffrey Arend	(500) Days of Summer
Angela Arenivar	Spellbound
Concepción Arenivar	Spellbound
Jorge Arenivar	Spellbound
Ubaldo Arenivar	Spellbound
Emilia Ares	V/H/S Viral
Niels Arestrup	Au revoir là-haut
Niels Arestrup	De battre mon coeur s'est arrêté
Niels Arestrup	Elle s'appelait Sarah
Niels Arestrup	Un prophète
Alfonso Arfi	J'ai perdu mon corps
Endy Arfian	Pengabdi Setan
William Argent	They Shall Not Grow Old
Asia Argento	La terza madre
Asia Argento	Land of the Dead
Asia Argento	Last Days
Asia Argento	xXx
Fiore Argento	Dèmoni
Carmen Argenziano	Into the Night
Carmen Argenziano	Singularity
Carmen Argenziano	When a Stranger Calls
Vinny Argiro	Bulworth
Victor Argo	King of New York
Fin Argus	Clouds
Nina Arianda	Being the Ricardos
Nina Arianda	Rob the Mob
Nina Arianda	Stan & Ollie
Nina Arianda	The Disappearance of Eleanor Rigby: Him
Ariane	Year of the Dragon
Mateo Arias	Good Kids
Moises Arias	Five Feet Apart
Moises Arias	The Kings of Summer
Yancey Arias	The Time Machine
Ersin Arici	Kagittan Hayatlar
Dan Ariely	The Inventor: Out for Blood in Silicon Valley
Syamsul Arifin	The Act of Killing
Kasumi Arimura	Omoide no Marnie
Kasumi Arimura	Rurôni Kenshin: Sai shûshô - The Beginning
Kurume Arisaka	Kairo
Virginia Cristina Ariza	Maria Full of Grace
Adria Arjona	Father of the Bride
Adria Arjona	Morbius
Adria Arjona	Sweet Girl
Adria Arjona	The Belko Experiment
Allu Arjun	Ala Vaikunthapurramuloo
Allu Arjun	Pushpa: The Rise - Part 1
Allu Arjun	Race Gurram
Raj Arjun	Love Hostel
Raj Arjun	Secret Superstar
Adam Arkin	Halloween H20: 20 Years Later
Adam Arkin	Pig
Alan Arkin	Argo
Alan Arkin	Catch-22
Alan Arkin	Get Smart
Alan Arkin	Glengarry Glen Ross
Alan Arkin	Going in Style
Alan Arkin	Grudge Match
Alan Arkin	Million Dollar Arm
Alan Arkin	Minions: The Rise of Gru
Alan Arkin	Noel
Alan Arkin	Rendition
Alan Arkin	Slums of Beverly Hills
Alan Arkin	Spenser Confidential
Alan Arkin	Stand Up Guys
Alan Arkin	Sunshine Cleaning
Alan Arkin	The Last Unicorn
Alan Arkin	The Private Lives of Pippa Lee
Alan Arkin	The Rocketeer
Alan Arkin	Thirteen Conversations About One Thing
Alan Arkin	Wait Until Dark
Cüneyt Arkin	Dünyayi Kurtaran Adam'in Oglu
Robert Arkins	The Commitments
Swann Arlaud	Anatomie d'une chute
Richard Arlen	Island of Lost Souls
Richard Arlen	Wings
Arletty	Les enfants du paradis
Andrei Arlovski	Universal Soldier: Regeneration
Gisken Armand	Insomnia
Ana de Armas	Blade Runner 2049
Ana de Armas	Blonde
Ana de Armas	Deep Water
Ana de Armas	Exposed
Ana de Armas	Ghosted
Ana de Armas	Knives Out
Ana de Armas	Knock Knock
Ana de Armas	No Time to Die
Ana de Armas	Overdrive
Ana de Armas	Sergio
Ana de Armas	The Gray Man
Ana de Armas	The Night Clerk
Ana de Armas	Wasp Network
Pedro Armendáriz	3 Godfathers
Pedro Armendáriz	Fort Apache
Pedro Armendáriz Jr.	La chèvre
Sebastian Armesto	Anonymous
Sebastian Armesto	Copenhagen
Fred Armisen	Jay and Silent Bob Reboot
Fred Armisen	The Lego Ninjago Movie
Iain Armitage	Our Souls at Night
Richard Armitage	Brain on Fire
Richard Armitage	Into the Storm
Richard Armitage	The Hobbit: An Unexpected Journey
Richard Armitage	The Hobbit: The Battle of the Five Armies
Richard Armitage	The Hobbit: The Desolation of Smaug
Richard Armitage	The Lodge
Amber Armstrong	Paranormal Activity
Bess Armstrong	Jaws 3-D
Bess Armstrong	Pecker
Curtis Armstrong	Akeelah and the Bee
Curtis Armstrong	Planes: Fire & Rescue
Curtis Armstrong	Revenge of the Nerds II: Nerds in Paradise
Kerry Armstrong	Lantana
R.G. Armstrong	Children of the Corn
R.G. Armstrong	Il mio nome è Nessuno
R.G. Armstrong	The Car
Robert Armstrong	King Kong
Robert Armstrong	The Most Dangerous Game
Ryan Kiera Armstrong	Firestarter
Samaire Armstrong	It's a Boy Girl Thing
Samaire Armstrong	Just My Luck
Samaire Armstrong	Stay Alive
Simon Armstrong	The Edge of Love
Todd Armstrong	Jason and the Argonauts
Daniel Arnaud	Finding Vivian Maier
François Arnaud	J'ai tué ma mère
James Arness	The Thing from Another World
James Arness	Them!
Will Arnett	Blades of Glory
Will Arnett	Chip 'n Dale: Rescue Rangers
Will Arnett	G-Force
Will Arnett	Horton Hears a Who!
Will Arnett	Karigurashi no Arietti
Will Arnett	Let's Go to Prison
Will Arnett	Teenage Mutant Ninja Turtles
Will Arnett	Teenage Mutant Ninja Turtles: Out of the Shadows
Will Arnett	The Brothers Solomon
Will Arnett	The Lego Batman Movie
Will Arnett	The Lego Movie
Will Arnett	The Lego Movie 2: The Second Part
Will Arnett	The Nut Job
Will Arnett	Wristcutters: A Love Story
Jeannetta Arnette	Snow Angels
Nora Arnezeder	Maniac
Nora Arnezeder	Tides
Arnold	Aruvi
Dylan Arnold	After
Edward Arnold	Meet John Doe
Edward Arnold	Mr. Smith Goes to Washington
Edward Arnold	You Can't Take It with You
Justin Arnold	The Final
Luke Arnold	The Tunnel
Tichina Arnold	The Last Black Man in San Francisco
Tom Arnold	Madea's Witness Protection
Tom Arnold	Nine Months
Tom Arnold	Soul Plane
Tom Arnold	True Lies
Tracy Arnold	Henry: Portrait of a Serial Killer
Jim Arnott	Mommy Dead and Dearest
Darren Aronofsky	This Film Is Not Yet Rated
Judie Aronson	American Ninja
Judie Aronson	Friday the 13th: The Final Chapter
Bhuvan Arora	Chaman Bahaar
Jas Arora	Chalte Chalte
Tarun Arora	Jab We Met
Alexis Arquette	Threesome
David Arquette	Eight Legged Freaks
David Arquette	Never Been Kissed
David Arquette	Ravenous
David Arquette	Ready to Rumble
David Arquette	Riding the Bullet
David Arquette	Scream
David Arquette	Scream
David Arquette	Scream 2
David Arquette	Scream 3
David Arquette	Scream 4
David Arquette	Spree
David Arquette	The Adventures of Sharkboy and Lavagirl 3-D
David Arquette	The Darwin Awards
David Arquette	The Grey Zone
Patricia Arquette	A Nightmare on Elm Street 3: Dream Warriors
Patricia Arquette	Boyhood
Patricia Arquette	Bringing Out the Dead
Patricia Arquette	Ed Wood
Patricia Arquette	Flirting with Disaster
Patricia Arquette	Human Nature
Patricia Arquette	Little Nicky
Patricia Arquette	Lost Highway
Patricia Arquette	Otherhood
Patricia Arquette	Stigmata
Patricia Arquette	True Romance
Rosanna Arquette	After Hours
Rosanna Arquette	Amazon Women on the Moon
